64.1	67.6	99.5	0.8	2.4	100.0	11.9	49.2	100.0	5	0.01
38.6	30.8	98.2	2.4	1.0	1.7	28.9	8.9	16.7	5	0.02
26.7	20.3	91.3	1.2	2.0	0.6	21.6	76.2	7.5	5	0.03
19.0	14.1	75.1	0.5	100.0	0.4	18.3	100.0	13.5	5	0.04
14.2	10.3	59.9	1.5	1.4	1.8	18.7	15.6	27.6	5	0.05
14.0	10.7	52.1	0.3	0.5	0.1	8.1	12.3	3.2	5	0.06
10.3	7.5	43.0	0.4	1.0	0.8	6.6	32.9	16.5	5	0.07
10.7	8.2	39.3	1.1	1.1	1.2	14.1	14.7	18.3	5	0.08
8.7	6.6	34.2	0.8	0.8	0.7	10.9	10.8	8.6	5	0.09
7.6	5.6	30.5	0.2	0.1	0.3	3.0	1.3	7.1	5	0.1
3.8	2.8	15.2	0.3	0.5	0.4	4.3	11.8	5.2	5	0.2
2.5	1.8	10.1	0.3	0.2	0.3	3.4	1.7	3.9	5	0.3
2.1	1.6	7.9	0.2	0.2	0.2	2.8	2.6	3.5	5	0.4
1.7	1.3	6.2	0.0	0.1	100.0	1.0	1.7	100.0	5	0.5
1.3	1.0	5.1	0.1	0.0	0.1	1.0	0.4	0.9	5	0.6
1.2	0.9	4.4	0.1	0.1	0.1	1.6	1.2	0.9	5	0.7
0.9	0.7	3.8	0.1	0.1	0.1	1.2	3.4	1.2	5	0.8
0.9	0.7	3.4	0.1	0.1	0.0	1.0	2.9	0.4	5	0.9
0.7	0.5	3.0	100.0	0.0	0.0	1.4	1.8	1.1	5	1.0
0.4	0.3	1.5	100.0	59.2	0.0	0.1	1.1	0.4	5	2.0
0.2	0.2	1.0	40.6	0.0	0.0	0.1	0.3	0.2	5	3.0
0.2	0.1	0.8	35.2	19.1	0.0	0.1	0.1	0.2	5	4.0
0.1	0.1	0.6	0.0	10.0	0.0	0.0	0.0	0.2	5	5.0
0.1	0.1	0.5	18.2	10.7	0.0	0.1	0.4	0.1	5	6.0
0.1	0.1	0.4	4.1	13.4	0.0	0.2	0.2	0.1	5	7.0
100.0	0.1	100.0	0.0	0.0	0.0	0.1	0.3	0.1	5	8.0
100.0	100.0	100.0	0.0	0.0	0.0	0.1	0.0	0.1	5	9.0
100.0	100.0	100.0	1.9	6.5	100.0	0.1	0.2	0.2	5	10.0
100.0	100.0	100.0	1.2	0.5	0.0	0.0	0.0	0.0	5	20.0
100.0	100.0	100.0	0.9	0.6	0.0	0.0	100.0	0.0	5	30.0
100.0	100.0	100.0	0.5	0.4	0.1	0.0	0.1	0.0	5	40.0
100.0	100.0	100.0	0.4	0.3	0.1	0.0	0.0	0.0	5	50.0
100.0	100.0	100.0	100.0	0.2	0.1	0.0	0.0	0.0	5	60.0
100.0	100.0	100.0	100.0	100.0	100.0	0.0	100.0	0.0	5	70.0
100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	5	80.0
100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	5	90.0
100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	5	100.0
100.0	100.0	100.0	100.0	4.8	7.0	0.0	0.0	0.0	5	200.0
1.1	0.4	1.2	0.1	0.0	0.1	0.0	0.0	0.0	5	300.0
1.3	0.4	1.5	0.1	0.0	0.1	0.0	0.0	0.0	5	400.0
1.6	0.6	1.8	0.1	0.0	0.1	0.0	0.0	0.0	5	500.0
1.6	0.6	1.8	0.1	0.0	0.1	0.0	0.0	0.0	5	600.0
1.8	0.7	2.0	0.1	0.0	0.1	0.1	0.0	100.0	5	700.0
1.8	0.8	2.0	0.1	0.0	0.1	0.0	0.1	100.0	5	800.0
1.6	0.6	1.9	0.1	0.0	0.1	0.0	0.0	0.0	5	900.0
1.8	0.8	2.0	0.1	0.1	0.1	0.0	0.0	0.0	5	1000.0
2.0	0.8	2.2	0.1	0.1	0.1	0.1	0.0	100.0	5	2000.0
1.8	0.6	2.0	0.1	0.0	0.1	0.1	0.0	100.0	5	3000.0
2.7	1.5	2.9	0.1	0.0	0.1	0.1	0.0	100.0	5	4000.0
2.0	0.8	2.2	0.1	0.0	0.1	0.2	0.1	100.0	5	5000.0
2.9	1.7	3.1	0.1	0.0	0.1	0.2	0.0	100.0	5	6000.0
1.9	0.7	2.1	0.1	0.0	0.1	0.1	0.5	100.0	5	7000.0
2.3	1.1	2.5	0.1	0.0	0.1	0.3	0.1	100.0	5	8000.0
3.0	1.8	3.2	0.1	0.1	0.1	100.0	100.0	100.0	5	9000.0
